name: 478d4781-09e4-4e1c-a257-2a0e60ab86e7 num_items: 64
token, class_id, token_value, token_tf, token_df
good_surrogate, bigrams, 1.5386509403469972e-05, 4.0, 2.0
simple_linear, bigrams, 1.1539881597855128e-05, 3.0, 2.0
some_useful, bigrams, 7.693254701734986e-06, 2.0, 2.0
running_system, bigrams, 7.693254701734986e-06, 2.0, 2.0
landscapes, text, 3.845680475933477e-05, 10.0, 2.0
however_nothing, bigrams, 7.693254701734986e-06, 2.0, 2.0
solve_however, bigrams, 7.693254701734986e-06, 2.0, 2.0
completion_every, bigrams, 7.693254701734986e-06, 2.0, 2.0
effect_performance, bigrams, 7.693254701734986e-06, 2.0, 2.0
scalarization, text, 7.691361133765895e-06, 2.0, 2.0
authors_gratefully, bigrams, 7.693254701734986e-06, 2.0, 2.0
disclosure_funding, bigrams, 7.693254701734986e-06, 2.0, 2.0
acknowledgments_disclosure, bigrams, 7.693254701734986e-06, 2.0, 2.0
select_both, bigrams, 7.693254701734986e-06, 2.0, 2.0
signicant_boost, bigrams, 7.693254701734986e-06, 2.0, 2.0
population_thus, bigrams, 7.693254701734986e-06, 2.0, 2.0
time_writing, bigrams, 7.693254701734986e-06, 2.0, 2.0
solution_thus, bigrams, 7.693254701734986e-06, 2.0, 2.0
solution_only, bigrams, 7.693254701734986e-06, 2.0, 2.0
nested_structure, bigrams, 7.693254701734986e-06, 2.0, 2.0
optimization_introduce, bigrams, 7.693254701734986e-06, 2.0, 2.0
resulting_approximation, bigrams, 7.693254701734986e-06, 2.0, 2.0
solving_nested, bigrams, 7.693254701734986e-06, 2.0, 2.0
formal_statement, bigrams, 7.693254701734986e-06, 2.0, 2.0
solve_inner, bigrams, 1.1539881597855128e-05, 3.0, 2.0
base_samples, bigrams, 6.154603761387989e-05, 16.0, 2.0
set_base, bigrams, 7.693254701734986e-06, 2.0, 2.0
approximation_saa, bigrams, 1.1539881597855128e-05, 3.0, 2.0
sample_average, bigrams, 2.69263910013251e-05, 7.0, 2.0
available_time, bigrams, 1.9233137209084816e-05, 5.0, 2.0
finally_samples, bigrams, 7.693254701734986e-06, 2.0, 2.0
obtained_reparameterization, bigrams, 7.693254701734986e-06, 2.0, 2.0
expectation_resulting, bigrams, 7.693254701734986e-06, 2.0, 2.0
gradient_have, bigrams, 7.693254701734986e-06, 2.0, 2.0
unbiased_consistent, bigrams, 1.5386509403469972e-05, 4.0, 2.0
efcient_optimization, bigrams, 1.1539881597855128e-05, 3.0, 2.0
biased_way, bigrams, 7.693254701734986e-06, 2.0, 2.0
expensive-to-evaluate_function, bigrams, 7.693254701734986e-06, 2.0, 2.0
ccf, text, 7.691361133765895e-06, 2.0, 2.0
sga, text, 1.538272226753179e-05, 4.0, 2.0
