name: 22c7ab41-9320-42b6-b668-c79cd6d7d2c4 num_items: 209
token, class_id, token_value, token_tf, token_df
systematic_procedure, bigrams, 4.87215447719791e-06, 4.0, 3.0
scm_tuple, bigrams, 3.65411597158527e-06, 3.0, 3.0
pearl_scm, bigrams, 3.65411597158527e-06, 3.0, 3.0
purdue_edu, bigrams, 4.87215447719791e-06, 4.0, 3.0
science_purdue, bigrams, 4.87215447719791e-06, 4.0, 3.0
ucs, text, 2.8007760192849673e-05, 23.0, 3.0
about_statistical, bigrams, 3.65411597158527e-06, 3.0, 3.0
else_return, bigrams, 4.87215447719791e-06, 4.0, 3.0
causal_bound, bigrams, 9.74430895439582e-06, 8.0, 3.0
entropic, text, 3.774958895519376e-05, 31.0, 3.0
youtube, text, 1.5830471966182813e-05, 13.0, 3.0
number_rounds, bigrams, 4.87215447719791e-06, 4.0, 3.0
discrete_variable, bigrams, 2.5578812710591592e-05, 21.0, 4.0
doctor_philosophy, bigrams, 3.65411597158527e-06, 3.0, 3.0
degree_doctor, bigrams, 1.461646388634108e-05, 12.0, 3.0
requirements_degree, bigrams, 1.461646388634108e-05, 12.0, 3.0
defended, text, 1.4612744053010829e-05, 12.0, 3.0
probability_tables, bigrams, 6.0901934375579e-06, 5.0, 4.0
situation_had, bigrams, 3.65411597158527e-06, 3.0, 3.0
types_structural, bigrams, 3.65411597158527e-06, 3.0, 3.0
retrieving, text, 3.653186013252707e-06, 3.0, 3.0
possible_explanation, bigrams, 3.65411597158527e-06, 3.0, 3.0
because_linear, bigrams, 3.65411597158527e-06, 3.0, 3.0
denser_graphs, bigrams, 3.65411597158527e-06, 3.0, 3.0
associated_corresponding, bigrams, 3.65411597158527e-06, 3.0, 3.0
make_information, bigrams, 3.65411597158527e-06, 3.0, 3.0
entropy_true, bigrams, 6.0901934375579e-06, 5.0, 3.0
algorithms_greedy, bigrams, 3.65411597158527e-06, 3.0, 3.0
over_exogenous, bigrams, 4.87215447719791e-06, 4.0, 4.0
learn_distribution, bigrams, 4.87215447719791e-06, 4.0, 3.0
let_its, bigrams, 3.65411597158527e-06, 3.0, 3.0
regrets, text, 1.2177286407677457e-05, 10.0, 3.0
give_denition, bigrams, 4.87215447719791e-06, 4.0, 3.0
independent_error, bigrams, 4.87215447719791e-06, 4.0, 3.0
other_score-based, bigrams, 4.87215447719791e-06, 4.0, 3.0
case_shown, bigrams, 4.87215447719791e-06, 4.0, 3.0
mengdi_huai, bigrams, 3.65411597158527e-06, 3.0, 3.0
expressions_causal, bigrams, 4.87215447719791e-06, 4.0, 3.0
instance_given, bigrams, 3.65411597158527e-06, 3.0, 3.0
linear_program, bigrams, 9.74430895439582e-06, 8.0, 3.0
above_chance, bigrams, 3.65411597158527e-06, 3.0, 3.0
barrier, text, 3.653186013252707e-06, 3.0, 3.0
determinism, text, 4.870914835919393e-06, 4.0, 3.0
conferences, text, 4.870914835919393e-06, 4.0, 3.0
