name: 3c53d520-132c-449d-b2fd-791d6ce07aa4 num_items: 188
token, class_id, token_value, token_tf, token_df
labels_perform, bigrams, 4.269569217285607e-06, 3.0, 3.0
some_labels, bigrams, 5.692758804798359e-06, 4.0, 3.0
only_fully, bigrams, 4.269569217285607e-06, 3.0, 3.0
between_main, bigrams, 4.269569217285607e-06, 3.0, 3.0
third_iteration, bigrams, 4.269569217285607e-06, 3.0, 3.0
features_similar, bigrams, 4.269569217285607e-06, 3.0, 3.0
roshan, text, 4.268427346687531e-06, 3.0, 3.0
mbh, text, 4.268427346687531e-06, 3.0, 3.0
instance_rst, bigrams, 4.269569217285607e-06, 3.0, 3.0
algorithm_some, bigrams, 5.692758804798359e-06, 4.0, 4.0
single_machine, bigrams, 5.692758804798359e-06, 4.0, 3.0
exceeding, text, 4.268427346687531e-06, 3.0, 3.0
representations_well, bigrams, 4.269569217285607e-06, 3.0, 3.0
two_words, bigrams, 4.269569217285607e-06, 3.0, 3.0
features_feature, bigrams, 7.115948847058462e-06, 5.0, 4.0
abel, text, 4.268427346687531e-06, 3.0, 3.0
adjectives, text, 4.268427346687531e-06, 3.0, 3.0
verbs, text, 4.268427346687531e-06, 3.0, 3.0
sought, text, 8.536854693375062e-06, 6.0, 3.0
syntactic_semantic, bigrams, 7.115948847058462e-06, 5.0, 4.0
finding_nearest, bigrams, 5.692758804798359e-06, 4.0, 3.0
consists_several, bigrams, 4.269569217285607e-06, 3.0, 3.0
unsure, text, 4.268427346687531e-06, 3.0, 3.0
progression, text, 4.268427346687531e-06, 3.0, 3.0
answer_second, bigrams, 5.692758804798359e-06, 4.0, 3.0
kaiser, text, 1.2805281585315242e-05, 9.0, 4.0
over_previous, bigrams, 4.269569217285607e-06, 3.0, 3.0
more_direct, bigrams, 4.269569217285607e-06, 3.0, 3.0
features_classier, bigrams, 5.692758804798359e-06, 4.0, 3.0
word_represented, bigrams, 7.115948847058462e-06, 5.0, 4.0
christopher_potts, bigrams, 4.269569217285607e-06, 3.0, 3.0
abbreviate, text, 4.268427346687531e-06, 3.0, 3.0
pantel, text, 8.536854693375062e-06, 6.0, 3.0
cgpotts, text, 4.268427346687531e-06, 3.0, 3.0
only_rst, bigrams, 4.269569217285607e-06, 3.0, 3.0
semantic_classes, bigrams, 4.269569217285607e-06, 3.0, 3.0
across_range, bigrams, 4.269569217285607e-06, 3.0, 3.0
explored_different, bigrams, 4.269569217285607e-06, 3.0, 3.0
training_either, bigrams, 4.269569217285607e-06, 3.0, 3.0
plan_release, bigrams, 4.269569217285607e-06, 3.0, 3.0
