name: 6a78412e-a5a5-44e2-8ae1-386135cb16cc num_items: 50
token, class_id, token_value, token_tf, token_df
most_extreme, bigrams, 1.0237091373710427e-05, 2.0, 2.0
simple_memorization, bigrams, 1.0237091373710427e-05, 2.0, 2.0
scale_neural, bigrams, 1.0237091373710427e-05, 2.0, 2.0
test_example, bigrams, 3.071127139264718e-05, 6.0, 2.0
language_modelling, bigrams, 5.1185455959057435e-05, 10.0, 2.0
naive_way, bigrams, 1.0237091373710427e-05, 2.0, 2.0
large_numbers, bigrams, 1.0237091373710427e-05, 2.0, 2.0
classifiers_more, bigrams, 1.0237091373710427e-05, 2.0, 2.0
simplicity_have, bigrams, 1.0237091373710427e-05, 2.0, 2.0
illustrative_example, bigrams, 3.582982026273385e-05, 7.0, 2.0
classes_examples, bigrams, 1.0237091373710427e-05, 2.0, 2.0
other_whereas, bigrams, 1.0237091373710427e-05, 2.0, 2.0
have_known, bigrams, 1.0237091373710427e-05, 2.0, 2.0
procedure_called, bigrams, 2.0474182747420855e-05, 4.0, 2.0
linear_classifier, bigrams, 3.071127139264718e-05, 6.0, 2.0
linear_classifiers, bigrams, 6.654109165538102e-05, 13.0, 2.0
classifier_could, bigrams, 1.535563569632359e-05, 3.0, 2.0
perceiving, text, 1.0234472028969321e-05, 2.0, 2.0
exciting, text, 1.0234472028969321e-05, 2.0, 2.0
classifiers, text, 0.0003428547934163362, 67.0, 2.0
chintala_lecun, bigrams, 1.0237091373710427e-05, 2.0, 2.0
groups_classes, bigrams, 1.535563569632359e-05, 3.0, 2.0
confusion_matrix, bigrams, 1.0237091373710427e-05, 2.0, 2.0
features_all, bigrams, 1.0237091373710427e-05, 2.0, 2.0
detect_local, bigrams, 1.0237091373710427e-05, 2.0, 2.0
three_stages, bigrams, 1.0237091373710427e-05, 2.0, 2.0
particular_commonly, bigrams, 1.0237091373710427e-05, 2.0, 2.0
high-resolution_fovea, bigrams, 2.0474182747420855e-05, 4.0, 2.0
lecun_bregler, bigrams, 1.535563569632359e-05, 3.0, 2.0
taking_advantage, bigrams, 1.0237091373710427e-05, 2.0, 2.0
intricate, text, 2.0468944057938643e-05, 4.0, 2.0
fovea, text, 5.6289594795089215e-05, 11.0, 2.0
importance_each, bigrams, 1.0237091373710427e-05, 2.0, 2.0
accuracy_over, bigrams, 1.535563569632359e-05, 3.0, 2.0
categories_each, bigrams, 1.0237091373710427e-05, 2.0, 2.0
global_local, bigrams, 1.0237091373710427e-05, 2.0, 2.0
set_units, bigrams, 1.0237091373710427e-05, 2.0, 2.0
random_architecture, bigrams, 1.0237091373710427e-05, 2.0, 2.0
directly_applied, bigrams, 1.0237091373710427e-05, 2.0, 2.0
variable_takes, bigrams, 1.0237091373710427e-05, 2.0, 2.0
show_some, bigrams, 1.0237091373710427e-05, 2.0, 2.0
set_same, bigrams, 1.0237091373710427e-05, 2.0, 2.0
large_fraction, bigrams, 1.0237091373710427e-05, 2.0, 2.0
unit_cannot, bigrams, 1.0237091373710427e-05, 2.0, 2.0
few_tens, bigrams, 1.535563569632359e-05, 3.0, 2.0
dropout_were, bigrams, 1.0237091373710427e-05, 2.0, 2.0
classify_images, bigrams, 1.0237091373710427e-05, 2.0, 2.0
same_weights, bigrams, 1.535563569632359e-05, 3.0, 2.0
gradients_each, bigrams, 1.0237091373710427e-05, 2.0, 2.0
nets_backpropagation, bigrams, 1.0237091373710427e-05, 2.0, 2.0
independent_bernoulli, bigrams, 1.0237091373710427e-05, 2.0, 2.0
distribution_maximum, bigrams, 1.0237091373710427e-05, 2.0, 2.0
already_evolved, bigrams, 1.0237091373710427e-05, 2.0, 2.0
good_set, bigrams, 1.0237091373710427e-05, 2.0, 2.0
networks_hyperparameters, bigrams, 1.0237091373710427e-05, 2.0, 2.0
scaling_networks, bigrams, 1.0237091373710427e-05, 2.0, 2.0
dropout_present, bigrams, 1.0237091373710427e-05, 2.0, 2.0
normally_require, bigrams, 1.0237091373710427e-05, 2.0, 2.0
hinton_krizhevsky, bigrams, 7.677818211959675e-05, 15.0, 2.0
various_kinds, bigrams, 1.0237091373710427e-05, 2.0, 2.0
complicated_relationships, bigrams, 1.535563569632359e-05, 3.0, 2.0
expressive_learn, bigrams, 1.0237091373710427e-05, 2.0, 2.0
exponential_number, bigrams, 1.535563569632359e-05, 3.0, 2.0
ontario_canada, bigrams, 1.0237091373710427e-05, 2.0, 2.0
road_toronto, bigrams, 1.0237091373710427e-05, 2.0, 2.0
college_road, bigrams, 1.0237091373710427e-05, 2.0, 2.0
kings_college, bigrams, 1.0237091373710427e-05, 2.0, 2.0
toronto_kings, bigrams, 1.0237091373710427e-05, 2.0, 2.0
speaker, text, 1.0234472028969321e-05, 2.0, 2.0
splicing, text, 5.1172359235351905e-05, 10.0, 2.0
blowing, text, 1.0234472028969321e-05, 2.0, 2.0
replica, text, 1.0234472028969321e-05, 2.0, 2.0
nowlan, text, 1.0234472028969321e-05, 2.0, 2.0
ontario, text, 1.0234472028969321e-05, 2.0, 2.0
kings, text, 1.0234472028969321e-05, 2.0, 2.0
temporal_structure, bigrams, 1.0237091373710427e-05, 2.0, 2.0
semantically_similar, bigrams, 1.535563569632359e-05, 3.0, 2.0
last_dimensional, bigrams, 1.0237091373710427e-05, 2.0, 2.0
over_ten, bigrams, 1.0237091373710427e-05, 2.0, 2.0
ilsvrc_validation, bigrams, 1.0237091373710427e-05, 2.0, 2.0
classify_entire, bigrams, 1.0237091373710427e-05, 2.0, 2.0
rates_best, bigrams, 1.0237091373710427e-05, 2.0, 2.0
learned_rst, bigrams, 1.0237091373710427e-05, 2.0, 2.0
examples_momentum, bigrams, 1.0237091373710427e-05, 2.0, 2.0
dropout_network, bigrams, 3.582982026273385e-05, 7.0, 2.0
complex_co-adaptations, bigrams, 2.0474182747420855e-05, 4.0, 2.0
dropped_out, bigrams, 1.0237091373710427e-05, 2.0, 2.0
averaging_predictions, bigrams, 3.071127139264718e-05, 6.0, 2.0
networks_test, bigrams, 1.0237091373710427e-05, 2.0, 2.0
equivalent_dimensions, bigrams, 1.0237091373710427e-05, 2.0, 2.0
set_applied, bigrams, 1.0237091373710427e-05, 2.0, 2.0
because_most, bigrams, 1.0237091373710427e-05, 2.0, 2.0
somewhat_similar, bigrams, 1.0237091373710427e-05, 2.0, 2.0
architecture_somewhat, bigrams, 1.0237091373710427e-05, 2.0, 2.0
contrast_normalization, bigrams, 2.5592727979528718e-05, 5.0, 2.0
rate_cifar, bigrams, 1.0237091373710427e-05, 2.0, 2.0
mean_activity, bigrams, 1.535563569632359e-05, 3.0, 2.0
well_test, bigrams, 1.0237091373710427e-05, 2.0, 2.0
version_ilsvrc, bigrams, 1.0237091373710427e-05, 2.0, 2.0
contains_more, bigrams, 1.0237091373710427e-05, 2.0, 2.0
ever_reported, bigrams, 1.0237091373710427e-05, 2.0, 2.0
