name: ba8a8f91-6333-47e2-a89c-fb375bfb6b9d num_items: 281
token, class_id, token_value, token_tf, token_df
different_behavior, bigrams, 3.257746357121505e-06, 3.0, 3.0
provides_principled, bigrams, 3.257746357121505e-06, 3.0, 3.0
forum_tidixipzhoi, bigrams, 3.257746357121505e-06, 3.0, 3.0
cost_associated, bigrams, 3.257746357121505e-06, 3.0, 3.0
learning_potential, bigrams, 3.257746357121505e-06, 3.0, 3.0
distributions_further, bigrams, 4.3436616579128895e-06, 4.0, 3.0
preprint_hongkai, bigrams, 3.257746357121505e-06, 3.0, 3.0
setting_setting, bigrams, 3.257746357121505e-06, 3.0, 3.0
benefit_training, bigrams, 4.3436616579128895e-06, 4.0, 3.0
set_recall, bigrams, 3.257746357121505e-06, 3.0, 3.0
mathbf_right, bigrams, 8.687323315825779e-06, 8.0, 3.0
generative_proc, bigrams, 3.257746357121505e-06, 3.0, 3.0
diffusion_theoretically, bigrams, 3.257746357121505e-06, 3.0, 3.0
constant_power, bigrams, 3.257746357121505e-06, 3.0, 3.0
additionally_identify, bigrams, 3.257746357121505e-06, 3.0, 3.0
noise_magnitude, bigrams, 3.257746357121505e-06, 3.0, 3.0
testbed, text, 3.2567525067861425e-06, 3.0, 3.0
replicas, text, 9.770257747732103e-06, 9.0, 3.0
facets, text, 4.342336978879757e-06, 4.0, 3.0
function_vector, bigrams, 4.3436616579128895e-06, 4.0, 4.0
min_out, bigrams, 3.257746357121505e-06, 3.0, 3.0
theoretical_aspects, bigrams, 3.257746357121505e-06, 3.0, 3.0
furthermore_song, bigrams, 3.257746357121505e-06, 3.0, 3.0
zheng_weili, bigrams, 6.51549271424301e-06, 6.0, 5.0
rombach_ruiqi, bigrams, 3.257746357121505e-06, 3.0, 3.0
probabilistic_inference, bigrams, 4.3436616579128895e-06, 4.0, 3.0
time-distillation_preprint, bigrams, 3.257746357121505e-06, 3.0, 3.0
eric_tract, bigrams, 3.257746357121505e-06, 3.0, 3.0
siyuan_daniel, bigrams, 3.257746357121505e-06, 3.0, 3.0
yap_shuangfei, bigrams, 3.257746357121505e-06, 3.0, 3.0
berthelot_arnaud, bigrams, 3.257746357121505e-06, 3.0, 3.0
training_evaluate, bigrams, 4.3436616579128895e-06, 4.0, 4.0
loss_instead, bigrams, 3.257746357121505e-06, 3.0, 3.0
architecture_song, bigrams, 4.3436616579128895e-06, 4.0, 3.0
largely_affect, bigrams, 3.257746357121505e-06, 3.0, 3.0
generation_furthermore, bigrams, 3.257746357121505e-06, 3.0, 3.0
initial_step, bigrams, 3.257746357121505e-06, 3.0, 3.0
zhang_making, bigrams, 4.3436616579128895e-06, 4.0, 3.0
walter_talbot, bigrams, 3.257746357121505e-06, 3.0, 3.0
