name: 5ddc25aa-98ea-4628-9176-24ad7aab3d21 num_items: 32
token, class_id, token_value, token_tf, token_df
per_class, bigrams, 3.3753851312212646e-05, 4.0, 2.0
reversing_process, bigrams, 1.6876925656106323e-05, 2.0, 2.0
pairs_extensive, bigrams, 1.6876925656106323e-05, 2.0, 2.0
fat, text, 2.530855272198096e-05, 3.0, 2.0
inaccuracies, text, 1.687236908765044e-05, 2.0, 2.0
clip_training, bigrams, 2.531538666517008e-05, 3.0, 2.0
inference_image, bigrams, 1.6876925656106323e-05, 2.0, 2.0
paving_way, bigrams, 1.6876925656106323e-05, 2.0, 2.0
connective_tissue, bigrams, 5.9069236158393323e-05, 7.0, 2.0
biomarker_discovery, bigrams, 4.219231414026581e-05, 5.0, 3.0
setting_stage, bigrams, 1.6876925656106323e-05, 2.0, 2.0
improving_classification, bigrams, 1.6876925656106323e-05, 2.0, 2.0
doing, text, 2.530855272198096e-05, 3.0, 3.0
molecular_information, bigrams, 4.219231414026581e-05, 5.0, 4.0
challenges_multimodal, bigrams, 2.531538666517008e-05, 3.0, 2.0
project, text, 0.00018559605814516544, 22.0, 9.0
added_value, bigrams, 2.531538666517008e-05, 3.0, 2.0
trained_real, bigrams, 1.6876925656106323e-05, 2.0, 2.0
generated_patch, bigrams, 1.6876925656106323e-05, 2.0, 2.0
representative, text, 0.00036275593447498977, 43.0, 11.0
visual_prompts, bigrams, 4.219231414026581e-05, 5.0, 2.0
low_resolution, bigrams, 3.3753851312212646e-05, 4.0, 4.0
generation_image, bigrams, 4.219231414026581e-05, 5.0, 4.0
field_view, bigrams, 5.9069236158393323e-05, 7.0, 5.0
image_clarity, bigrams, 2.531538666517008e-05, 3.0, 2.0
step_resolution, bigrams, 1.6876925656106323e-05, 2.0, 2.0
zuo, text, 2.530855272198096e-05, 3.0, 2.0
generate_detailed, bigrams, 2.531538666517008e-05, 3.0, 3.0
text_encoders, bigrams, 3.3753851312212646e-05, 4.0, 3.0
noise_gradually, bigrams, 1.6876925656106323e-05, 2.0, 2.0
adjusted, text, 3.374473817530088e-05, 4.0, 2.0
greater_flexibility, bigrams, 1.6876925656106323e-05, 2.0, 2.0
current_sota, bigrams, 3.3753851312212646e-05, 4.0, 4.0
applied_histopathology, bigrams, 2.531538666517008e-05, 3.0, 3.0
however_standard, bigrams, 1.6876925656106323e-05, 2.0, 2.0
innovative, text, 7.592565816594288e-05, 9.0, 6.0
pre-training, text, 0.00040493684355169535, 48.0, 12.0
sampled_during, bigrams, 2.531538666517008e-05, 3.0, 2.0
tissues, text, 0.00036275593447498977, 43.0, 16.0
learn_underlying, bigrams, 1.6876925656106323e-05, 2.0, 2.0
module_ensures, bigrams, 1.6876925656106323e-05, 2.0, 2.0
attributed, text, 6.748947635060176e-05, 8.0, 6.0
jun, text, 5.061710544396192e-05, 6.0, 5.0
crossattention, text, 3.374473817530088e-05, 4.0, 3.0
experimented, text, 2.530855272198096e-05, 3.0, 3.0
directly_input, bigrams, 1.6876925656106323e-05, 2.0, 2.0
learned_latent, bigrams, 1.6876925656106323e-05, 2.0, 2.0
class_distribution, bigrams, 3.3753851312212646e-05, 4.0, 3.0
employ_contrastive, bigrams, 1.6876925656106323e-05, 2.0, 2.0
quite, text, 3.374473817530088e-05, 4.0, 3.0
multimodal_generation, bigrams, 1.6876925656106323e-05, 2.0, 2.0
vocabularies, text, 2.530855272198096e-05, 3.0, 2.0
therefore_have, bigrams, 1.6876925656106323e-05, 2.0, 2.0
cannot_process, bigrams, 3.3753851312212646e-05, 4.0, 2.0
governance, text, 5.061710544396192e-05, 6.0, 2.0
blood_cell, bigrams, 1.6876925656106323e-05, 2.0, 2.0
objective_function, bigrams, 5.9069236158393323e-05, 7.0, 2.0
stable_diffusion, bigrams, 5.9069236158393323e-05, 7.0, 3.0
trained_epochs, bigrams, 3.3753851312212646e-05, 4.0, 4.0
sentences, text, 0.0001265427708858624, 15.0, 5.0
trained_network, bigrams, 1.6876925656106323e-05, 2.0, 2.0
dhariwal_nichol, bigrams, 1.6876925656106323e-05, 2.0, 2.0
textures, text, 6.748947635060176e-05, 8.0, 5.0
process_sampling, bigrams, 1.6876925656106323e-05, 2.0, 2.0
gontijo, text, 1.687236908765044e-05, 2.0, 2.0
generated_both, bigrams, 1.6876925656106323e-05, 2.0, 2.0
corpus, text, 4.21809236286208e-05, 5.0, 5.0
tailored_pathology, bigrams, 1.6876925656106323e-05, 2.0, 2.0
rao_tristan, bigrams, 1.6876925656106323e-05, 2.0, 2.0
enable_high-resolution, bigrams, 1.6876925656106323e-05, 2.0, 2.0
survival_time, bigrams, 4.219231414026581e-05, 5.0, 3.0
improved_classification, bigrams, 3.3753851312212646e-05, 4.0, 2.0
images_train, bigrams, 1.6876925656106323e-05, 2.0, 2.0
achieving_top, bigrams, 1.6876925656106323e-05, 2.0, 2.0
generating_images, bigrams, 4.219231414026581e-05, 5.0, 2.0
fragmented, text, 3.374473817530088e-05, 4.0, 2.0
features_generate, bigrams, 1.6876925656106323e-05, 2.0, 2.0
application_evaluate, bigrams, 1.6876925656106323e-05, 2.0, 2.0
images_haematoxylin, bigrams, 1.6876925656106323e-05, 2.0, 2.0
regions_histopathology, bigrams, 2.531538666517008e-05, 3.0, 2.0
equivalent, text, 6.748947635060176e-05, 8.0, 6.0
yat-sen, text, 1.687236908765044e-05, 2.0, 2.0
same_whole, bigrams, 1.6876925656106323e-05, 2.0, 2.0
over_generated, bigrams, 1.6876925656106323e-05, 2.0, 2.0
generating_synthetic, bigrams, 1.6876925656106323e-05, 2.0, 2.0
generative_produce, bigrams, 1.6876925656106323e-05, 2.0, 2.0
wide_variety, bigrams, 1.6876925656106323e-05, 2.0, 2.0
