name: 627e503f-8cbe-4f11-95ea-d681afcb6d27 num_items: 127
token, class_id, token_value, token_tf, token_df
xiaowei_lei, bigrams, 5.160899490874726e-06, 3.0, 3.0
zhenguo, text, 5.159772172191879e-06, 3.0, 3.0
sutskever_geoffrey, bigrams, 5.160899490874726e-06, 3.0, 3.0
krizhevsky_ilya, bigrams, 5.160899490874726e-06, 3.0, 3.0
alex_krizhevsky, bigrams, 6.881199624331202e-06, 4.0, 3.0
alexander_kirillov, bigrams, 5.160899490874726e-06, 3.0, 3.0
visiolinguistic_representations, bigrams, 8.601499757787678e-06, 5.0, 5.0
lee_vilbert, bigrams, 8.601499757787678e-06, 5.0, 5.0
jiasen_dhruv, bigrams, 8.601499757787678e-06, 5.0, 5.0
oscar_object-semantics, bigrams, 6.881199624331202e-06, 4.0, 4.0
wang_houdong, bigrams, 6.881199624331202e-06, 4.0, 4.0
simple_performant, bigrams, 6.881199624331202e-06, 4.0, 4.0
visualbert_simple, bigrams, 6.881199624331202e-06, 4.0, 4.0
chang_visualbert, bigrams, 6.881199624331202e-06, 4.0, 4.0
yin_cho-jui, bigrams, 6.881199624331202e-06, 4.0, 4.0
harold_mark, bigrams, 6.881199624331202e-06, 4.0, 4.0
liunian_harold, bigrams, 1.0321798981749453e-05, 6.0, 5.0
yunhsuan_sung, bigrams, 5.160899490874726e-06, 3.0, 3.0
preprint_mathilde, bigrams, 5.160899490874726e-06, 3.0, 3.0
functions_have, bigrams, 8.601499757787678e-06, 5.0, 3.0
keutzer, text, 6.879696684336523e-06, 4.0, 4.0
visiolinguistic, text, 8.599620741733816e-06, 5.0, 5.0
object-semantics, text, 6.879696684336523e-06, 4.0, 4.0
visualbert, text, 1.2039468856528401e-05, 7.0, 4.0
liunian, text, 1.0319544344383758e-05, 6.0, 5.0
yunhsuan, text, 5.159772172191879e-06, 3.0, 3.0
bei, text, 5.159772172191879e-06, 3.0, 3.0
chunjing, text, 6.879696684336523e-06, 4.0, 4.0
igpt_chen, bigrams, 5.160899490874726e-06, 3.0, 3.0
marrying, text, 8.599620741733816e-06, 5.0, 3.0
generic_visual-linguistic, bigrams, 5.160899490874726e-06, 3.0, 3.0
local_feature, bigrams, 5.160899490874726e-06, 3.0, 3.0
through_attention, bigrams, 5.160899490874726e-06, 3.0, 3.0
distillation_through, bigrams, 5.160899490874726e-06, 3.0, 3.0
transformers_distillation, bigrams, 5.160899490874726e-06, 3.0, 3.0
large-scale_image, bigrams, 6.881199624331202e-06, 4.0, 4.0
networks_large-scale, bigrams, 5.160899490874726e-06, 3.0, 3.0
zisserman_very, bigrams, 5.160899490874726e-06, 3.0, 3.0
simonyan_zisserman, bigrams, 5.160899490874726e-06, 3.0, 3.0
development_training, bigrams, 5.160899490874726e-06, 3.0, 3.0
emerging_trends, bigrams, 1.2042099115205929e-05, 7.0, 3.0
need_further, bigrams, 5.160899490874726e-06, 3.0, 3.0
zagoruyko, text, 5.159772172191879e-06, 3.0, 3.0
fficient, text, 6.879696684336523e-06, 4.0, 3.0
ackbone, text, 8.599620741733816e-06, 5.0, 3.0
wang_sun, bigrams, 8.601499757787678e-06, 5.0, 3.0
phillip, text, 8.599620741733816e-06, 5.0, 3.0
torralba_learning, bigrams, 5.160899490874726e-06, 3.0, 3.0
previous_has, bigrams, 5.160899490874726e-06, 3.0, 3.0
existing_often, bigrams, 5.160899490874726e-06, 3.0, 3.0
cho-jui, text, 8.599620741733816e-06, 5.0, 4.0
constituent, text, 1.2039468856528401e-05, 7.0, 6.0
target_outputs, bigrams, 5.160899490874726e-06, 3.0, 3.0
originates, text, 5.159772172191879e-06, 3.0, 3.0
followed_similar, bigrams, 5.160899490874726e-06, 3.0, 3.0
vector_quantization, bigrams, 1.3762399248662405e-05, 8.0, 5.0
epresentation_earning, bigrams, 5.160899490874726e-06, 3.0, 3.0
rate_scheduler, bigrams, 8.601499757787678e-06, 5.0, 4.0
trump, text, 1.0319544344383758e-05, 6.0, 3.0
training_environment, bigrams, 1.7202999515575357e-05, 10.0, 3.0
tiny, text, 4.987779902876355e-05, 29.0, 11.0
two_transformer, bigrams, 5.160899490874726e-06, 3.0, 3.0
see_https, bigrams, 1.2042099115205929e-05, 7.0, 7.0
train_series, bigrams, 6.881199624331202e-06, 4.0, 3.0
accuracy_drop, bigrams, 5.160899490874726e-06, 3.0, 3.0
several_dierent, bigrams, 5.160899490874726e-06, 3.0, 3.0
include_both, bigrams, 5.160899490874726e-06, 3.0, 3.0
