name: 22c4c36e-dae6-4e01-af6d-dd522cc32dec num_items: 123
token, class_id, token_value, token_tf, token_df
backward_backward, bigrams, 8.573784725740552e-06, 5.0, 4.0
case_training, bigrams, 6.859027962491382e-06, 4.0, 4.0
ensures_all, bigrams, 1.3718055924982764e-05, 8.0, 8.0
routinely, text, 5.143186172062997e-06, 3.0, 3.0
function_max, bigrams, 5.144271199242212e-06, 3.0, 3.0
demonstrating, text, 9.600614430382848e-05, 56.0, 37.0
save, text, 0.00011315009760437533, 66.0, 28.0
tensors_partitioned, bigrams, 8.573784725740552e-06, 5.0, 5.0
allowing_users, bigrams, 5.144271199242212e-06, 3.0, 3.0
human_preferences, bigrams, 2.0577084796968848e-05, 12.0, 3.0
performance_llms, bigrams, 1.0288542398484424e-05, 6.0, 4.0
parameters_between, bigrams, 8.573784725740552e-06, 5.0, 4.0
near_optimal, bigrams, 1.0288542398484424e-05, 6.0, 4.0
qiao_dongsheng, bigrams, 5.144271199242212e-06, 3.0, 3.0
through_fine-grained, bigrams, 5.144271199242212e-06, 3.0, 3.0
national, text, 9.600614430382848e-05, 56.0, 32.0
best_performance, bigrams, 5.83017390454188e-05, 34.0, 25.0
has_its, bigrams, 2.7436111849965528e-05, 16.0, 13.0
strategy_discovered, bigrams, 1.0288542398484424e-05, 6.0, 4.0
ptb, text, 1.7143955119536258e-05, 10.0, 3.0
fewer_transformer, bigrams, 6.859027962491382e-06, 4.0, 3.0
llm_fine-tuning, bigrams, 1.5432813597726636e-05, 9.0, 4.0
schoelkopf, text, 5.143186172062997e-06, 3.0, 3.0
space_time, bigrams, 8.573784725740552e-06, 5.0, 3.0
multi-round, text, 6.857581865915563e-06, 4.0, 3.0
following_reasons, bigrams, 1.2003299161733594e-05, 7.0, 6.0
summaries, text, 5.143186172062997e-06, 3.0, 3.0
prices, text, 1.0286372344125994e-05, 6.0, 4.0
multi-turn, text, 1.0286372344125994e-05, 6.0, 4.0
generalizability, text, 8.571977559768129e-06, 5.0, 3.0
crossentropy, text, 5.143186172062997e-06, 3.0, 3.0
task-specific, text, 1.0286372344125994e-05, 6.0, 5.0
zhou_ippolito, bigrams, 5.144271199242212e-06, 3.0, 3.0
opportunities_overlap, bigrams, 1.2003299161733594e-05, 7.0, 4.0
increasing_parallel, bigrams, 6.859027962491382e-06, 4.0, 4.0
high_costs, bigrams, 8.573784725740552e-06, 5.0, 4.0
two_sizes, bigrams, 6.859027962491382e-06, 4.0, 4.0
increasing_parallelism, bigrams, 8.573784725740552e-06, 5.0, 4.0
usual, text, 1.0286372344125994e-05, 6.0, 6.0
recursive, text, 2.9144723157514818e-05, 17.0, 12.0
key_performance, bigrams, 6.859027962491382e-06, 4.0, 4.0
llm_sizes, bigrams, 5.144271199242212e-06, 3.0, 3.0
evaluation_methodology, bigrams, 5.144271199242212e-06, 3.0, 3.0
overall_iteration, bigrams, 5.144271199242212e-06, 3.0, 3.0
predicts_training, bigrams, 1.2003299161733594e-05, 7.0, 3.0
stage_during, bigrams, 8.573784725740552e-06, 5.0, 3.0
overlap_computations, bigrams, 5.144271199242212e-06, 3.0, 3.0
vienna, text, 6.857581865915563e-06, 4.0, 4.0
wave-like, text, 3.0859118851367384e-05, 18.0, 6.0
