name: db6c1814-8ba6-4e2e-872a-5d751bd527e1 num_items: 249
token, class_id, token_value, token_tf, token_df
sample_token, bigrams, 4.137627456657356e-06, 5.0, 4.0
evolving_workloads, bigrams, 3.3101018743764143e-06, 4.0, 4.0
rises_sharply, bigrams, 3.3101018743764143e-06, 4.0, 4.0
mishkin_zhang, bigrams, 3.3101018743764143e-06, 4.0, 4.0
wainwright_mishkin, bigrams, 3.3101018743764143e-06, 4.0, 4.0
ouyang_jiang, bigrams, 3.3101018743764143e-06, 4.0, 4.0
burst_request, bigrams, 4.137627456657356e-06, 5.0, 4.0
poor_hardware, bigrams, 3.3101018743764143e-06, 4.0, 4.0
open_agentic, bigrams, 3.3101018743764143e-06, 4.0, 4.0
example_qwen, bigrams, 3.3101018743764143e-06, 4.0, 4.0
capacity_computational, bigrams, 3.3101018743764143e-06, 4.0, 4.0
shared_pool, bigrams, 4.965153038938297e-06, 6.0, 4.0
ratio_during, bigrams, 3.3101018743764143e-06, 4.0, 4.0
motivated_design, bigrams, 3.3101018743764143e-06, 4.0, 4.0
federated, text, 7.446195013471879e-06, 9.0, 5.0
scattering, text, 3.30941998072376e-06, 4.0, 4.0
rate_service, bigrams, 4.137627456657356e-06, 5.0, 4.0
scheduling_enabling, bigrams, 3.3101018743764143e-06, 4.0, 4.0
enabling_proactive, bigrams, 3.3101018743764143e-06, 4.0, 4.0
challenge_existing, bigrams, 3.3101018743764143e-06, 4.0, 4.0
unified_llm, bigrams, 4.137627456657356e-06, 5.0, 4.0
non-monotonic, text, 3.30941998072376e-06, 4.0, 4.0
instance_represents, bigrams, 3.3101018743764143e-06, 4.0, 4.0
substantial_operational, bigrams, 4.965153038938297e-06, 6.0, 5.0
efficiency_scaling, bigrams, 3.3101018743764143e-06, 4.0, 4.0
workloads_current, bigrams, 3.3101018743764143e-06, 4.0, 4.0
memory-aware, text, 1.90291648323182e-05, 23.0, 6.0
huanle, text, 4.1367748053744435e-06, 5.0, 4.0
chengzhong, text, 6.61883996144752e-06, 8.0, 4.0
longer_generations, bigrams, 4.137627456657356e-06, 5.0, 4.0
plots_show, bigrams, 4.137627456657356e-06, 5.0, 4.0
parallelism_chunked, bigrams, 5.792678166471887e-06, 7.0, 4.0
bottlenecks_prefill, bigrams, 3.3101018743764143e-06, 4.0, 4.0
enable_low-latency, bigrams, 3.3101018743764143e-06, 4.0, 4.0
decode_workers, bigrams, 6.620203748752829e-06, 8.0, 5.0
capture_dynamic, bigrams, 4.965153038938297e-06, 6.0, 5.0
black_line, bigrams, 4.137627456657356e-06, 5.0, 5.0
mismatch_makes, bigrams, 3.3101018743764143e-06, 4.0, 4.0
under_setting, bigrams, 3.3101018743764143e-06, 4.0, 4.0
strategy_achieves, bigrams, 3.3101018743764143e-06, 4.0, 4.0
systems_zhong, bigrams, 3.3101018743764143e-06, 4.0, 4.0
framework_large, bigrams, 3.3101018743764143e-06, 4.0, 4.0
th-percentile, text, 4.964129857398802e-06, 6.0, 4.0
cache-aware_routing, bigrams, 8.275254913314711e-06, 10.0, 4.0
between_responsiveness, bigrams, 3.3101018743764143e-06, 4.0, 4.0
compatible_any, bigrams, 4.137627456657356e-06, 5.0, 5.0
inference_traffic, bigrams, 4.137627456657356e-06, 5.0, 5.0
severe_load, bigrams, 8.275254913314711e-06, 10.0, 7.0
slos_propose, bigrams, 4.137627456657356e-06, 5.0, 4.0
ensuring_all, bigrams, 3.3101018743764143e-06, 4.0, 4.0
systems_hugging, bigrams, 3.3101018743764143e-06, 4.0, 4.0
above_goals, bigrams, 3.3101018743764143e-06, 4.0, 4.0
identical_across, bigrams, 3.3101018743764143e-06, 4.0, 4.0
zero-copy, text, 1.323767992289504e-05, 16.0, 4.0
time_keeping, bigrams, 3.3101018743764143e-06, 4.0, 4.0
large-scale_ai, bigrams, 4.965153038938297e-06, 6.0, 4.0
jackson, text, 4.964129857398802e-06, 6.0, 5.0
nvml, text, 6.61883996144752e-06, 8.0, 4.0
approximately_equal, bigrams, 5.792678166471887e-06, 7.0, 4.0
storage_technologies, bigrams, 4.137627456657356e-06, 5.0, 5.0
file_storage, bigrams, 4.965153038938297e-06, 6.0, 6.0
usenix_file, bigrams, 4.137627456657356e-06, 5.0, 5.0
workloads_configurations, bigrams, 3.3101018743764143e-06, 4.0, 4.0
compared_those, bigrams, 3.3101018743764143e-06, 4.0, 4.0
cv_cv, bigrams, 8.275254913314711e-06, 10.0, 4.0
kejiang, text, 5.791484909423161e-06, 7.0, 4.0
chengzhi, text, 5.791484909423161e-06, 7.0, 5.0
language_usenix, bigrams, 5.792678166471887e-06, 7.0, 7.0
evaluated_system, bigrams, 4.965153038938297e-06, 6.0, 4.0
maximum_rate, bigrams, 3.3101018743764143e-06, 4.0, 4.0
tick, text, 5.791484909423161e-06, 7.0, 4.0
scheduler_schedule, bigrams, 3.3101018743764143e-06, 4.0, 4.0
lmcache, text, 1.4892390026943758e-05, 18.0, 6.0
prefillonly, text, 9.349111496703699e-05, 113.0, 5.0
presents_ttft, bigrams, 3.3101018743764143e-06, 4.0, 4.0
each_design, bigrams, 4.137627456657356e-06, 5.0, 5.0
gpu_setup, bigrams, 4.137627456657356e-06, 5.0, 5.0
ttft_attainment, bigrams, 8.275254913314711e-06, 10.0, 4.0
systems_allocate, bigrams, 4.137627456657356e-06, 5.0, 4.0
static_partition, bigrams, 8.275254913314711e-06, 10.0, 4.0
dequeue, text, 4.1367748053744435e-06, 5.0, 4.0
still_uses, bigrams, 4.137627456657356e-06, 5.0, 4.0
supports_dynamic, bigrams, 5.792678166471887e-06, 7.0, 5.0
system_continuously, bigrams, 4.137627456657356e-06, 5.0, 5.0
ttft_primarily, bigrams, 4.137627456657356e-06, 5.0, 4.0
instead_propose, bigrams, 3.3101018743764143e-06, 4.0, 4.0
optimizing_ttft, bigrams, 4.137627456657356e-06, 5.0, 5.0
metrics_shown, bigrams, 4.137627456657356e-06, 5.0, 5.0
overall_goodput, bigrams, 4.137627456657356e-06, 5.0, 4.0
construct_three, bigrams, 3.3101018743764143e-06, 4.0, 4.0
runtime_request, bigrams, 3.3101018743764143e-06, 4.0, 4.0
both_across, bigrams, 3.3101018743764143e-06, 4.0, 4.0
real-time_translation, bigrams, 3.3101018743764143e-06, 4.0, 4.0
edges_represent, bigrams, 4.137627456657356e-06, 5.0, 4.0
higher-priority, text, 7.446195013471879e-06, 9.0, 5.0
analogously, text, 4.1367748053744435e-06, 5.0, 5.0
marginal_benefit, bigrams, 4.137627456657356e-06, 5.0, 5.0
