name: f6477594-6895-49c9-9752-77254d719d2f num_items: 199
token, class_id, token_value, token_tf, token_df
appendix_provide, bigrams, 3.6830015233135782e-06, 3.0, 3.0
row_corresponds, bigrams, 3.6830015233135782e-06, 3.0, 3.0
appendix_shows, bigrams, 4.910668849333888e-06, 4.0, 3.0
parsely, text, 4.9094692258222494e-06, 4.0, 3.0
default_number, bigrams, 4.910668849333888e-06, 4.0, 3.0
craig, text, 3.682102033053525e-06, 3.0, 3.0
chen_mike, bigrams, 3.6830015233135782e-06, 3.0, 3.0
bengio_nicholas, bigrams, 3.6830015233135782e-06, 3.0, 3.0
blations, text, 4.9094692258222494e-06, 4.0, 3.0
clara, text, 4.9094692258222494e-06, 4.0, 4.0
zero_optimization, bigrams, 6.138336175354198e-06, 5.0, 3.0
device_hosts, bigrams, 3.6830015233135782e-06, 3.0, 3.0
communication_forward, bigrams, 6.138336175354198e-06, 5.0, 3.0
probable, text, 3.682102033053525e-06, 3.0, 3.0
tree_main, bigrams, 3.6830015233135782e-06, 3.0, 3.0
large_sample, bigrams, 3.6830015233135782e-06, 3.0, 3.0
incurs_only, bigrams, 3.6830015233135782e-06, 3.0, 3.0
compression_time, bigrams, 6.138336175354198e-06, 5.0, 3.0
thus_having, bigrams, 3.6830015233135782e-06, 3.0, 3.0
all_accuracy, bigrams, 3.6830015233135782e-06, 3.0, 3.0
only_within, bigrams, 3.6830015233135782e-06, 3.0, 3.0
routing_works, bigrams, 4.910668849333888e-06, 4.0, 3.0
vienna_austria, bigrams, 3.6830015233135782e-06, 3.0, 3.0
learning_vienna, bigrams, 3.6830015233135782e-06, 3.0, 3.0
traffic_limited, bigrams, 3.6830015233135782e-06, 3.0, 3.0
compressed_expert, bigrams, 6.138336175354198e-06, 5.0, 3.0
domain_achieves, bigrams, 3.6830015233135782e-06, 3.0, 3.0
murthy, text, 3.682102033053525e-06, 3.0, 3.0
chai, text, 3.682102033053525e-06, 3.0, 3.0
vienna, text, 3.682102033053525e-06, 3.0, 3.0
rudolph, text, 3.682102033053525e-06, 3.0, 3.0
accurate_cost, bigrams, 3.6830015233135782e-06, 3.0, 3.0
scores_select, bigrams, 3.6830015233135782e-06, 3.0, 3.0
motivation_first, bigrams, 3.6830015233135782e-06, 3.0, 3.0
xinfeng, text, 3.682102033053525e-06, 3.0, 3.0
text_scale, bigrams, 3.6830015233135782e-06, 3.0, 3.0
finest_text, bigrams, 3.6830015233135782e-06, 3.0, 3.0
fineweb_decanting, bigrams, 3.6830015233135782e-06, 3.0, 3.0
pioro_micha, bigrams, 3.6830015233135782e-06, 3.0, 3.0
stephan_gouws, bigrams, 3.6830015233135782e-06, 3.0, 3.0
commercially, text, 3.682102033053525e-06, 3.0, 3.0
dacheng_tao, bigrams, 6.138336175354198e-06, 5.0, 3.0
weights_determined, bigrams, 3.6830015233135782e-06, 3.0, 3.0
wicke, text, 3.682102033053525e-06, 3.0, 3.0
dacheng, text, 6.136836873338325e-06, 5.0, 3.0
moreover_even, bigrams, 3.6830015233135782e-06, 3.0, 3.0
locality-sensitive_hashing, bigrams, 1.3504339221981354e-05, 11.0, 3.0
both_before, bigrams, 4.910668849333888e-06, 4.0, 3.0
locality-sensitive, text, 1.3501040484698024e-05, 11.0, 3.0
chen_zheng, bigrams, 6.138336175354198e-06, 5.0, 3.0
works_adopt, bigrams, 3.6830015233135782e-06, 3.0, 3.0
iyer_lynx, bigrams, 3.6830015233135782e-06, 3.0, 3.0
selection_select, bigrams, 3.6830015233135782e-06, 3.0, 3.0
line_each, bigrams, 3.6830015233135782e-06, 3.0, 3.0
significantly_between, bigrams, 3.6830015233135782e-06, 3.0, 3.0
variation_across, bigrams, 3.6830015233135782e-06, 3.0, 3.0
basu, text, 3.682102033053525e-06, 3.0, 3.0
expects, text, 3.682102033053525e-06, 3.0, 3.0
layers_decoding, bigrams, 3.6830015233135782e-06, 3.0, 3.0
dram_system, bigrams, 3.6830015233135782e-06, 3.0, 3.0
active_area, bigrams, 4.910668849333888e-06, 4.0, 4.0
many_practical, bigrams, 3.6830015233135782e-06, 3.0, 3.0
second_system, bigrams, 3.6830015233135782e-06, 3.0, 3.0
design_following, bigrams, 3.6830015233135782e-06, 3.0, 3.0
pal, text, 4.9094692258222494e-06, 4.0, 3.0
typically_spans, bigrams, 3.6830015233135782e-06, 3.0, 3.0
instance_example, bigrams, 3.6830015233135782e-06, 3.0, 3.0
emerged_compelling, bigrams, 3.6830015233135782e-06, 3.0, 3.0
cloud_deployments, bigrams, 3.6830015233135782e-06, 3.0, 3.0
smoothly, text, 7.36420406610705e-06, 6.0, 5.0
interrupting, text, 4.9094692258222494e-06, 4.0, 3.0
chenxu_qwen, bigrams, 3.6830015233135782e-06, 3.0, 3.0
preprint_aixin, bigrams, 6.138336175354198e-06, 5.0, 4.0
multi-batch_pipeline, bigrams, 3.6830015233135782e-06, 3.0, 3.0
scales_architectures, bigrams, 3.6830015233135782e-06, 3.0, 3.0
underutilized_address, bigrams, 3.6830015233135782e-06, 3.0, 3.0
two_servers, bigrams, 4.910668849333888e-06, 4.0, 3.0
