name: 8709976e-26c7-47a0-a36f-8c2f20986ddb num_items: 231
token, class_id, token_value, token_tf, token_df
abs, text, 0.0003608189581427723, 222.0, 37.0
same_naturalness, bigrams, 4.877763331023743e-06, 3.0, 3.0
cyclegan-based_non-parallel, bigrams, 8.12960570328869e-06, 5.0, 5.0
pre-trained_tts, bigrams, 4.877763331023743e-06, 3.0, 3.0
under_condition, bigrams, 6.503684289782541e-06, 4.0, 3.0
recordings_only, bigrams, 6.503684289782541e-06, 4.0, 4.0
fang_chen, bigrams, 9.755526662047487e-06, 6.0, 6.0
moss_vatsal, bigrams, 4.877763331023743e-06, 3.0, 3.0
adaptation_bayesian, bigrams, 8.12960570328869e-06, 5.0, 4.0
dang, text, 1.9503728253766894e-05, 12.0, 12.0
viet, text, 4.875932063441724e-06, 3.0, 3.0
drugman, text, 3.088090306846425e-05, 19.0, 12.0
supplement, text, 9.751864126883447e-06, 6.0, 4.0
trained_end-to-end, bigrams, 6.178500188980252e-05, 38.0, 25.0
barra-chicote, text, 1.3002485502511263e-05, 8.0, 7.0
roberto, text, 9.751864126883447e-06, 6.0, 4.0
gonzalez, text, 8.12655343906954e-06, 5.0, 4.0
fully-connected_feedforward, bigrams, 6.503684289782541e-06, 4.0, 4.0
given_training, bigrams, 1.3007368579565082e-05, 8.0, 8.0
tensorflow_large-scale, bigrams, 1.1381447620806284e-05, 7.0, 7.0
output_features, bigrams, 1.463328953832388e-05, 9.0, 6.0
toolkit, text, 0.0002080397680401802, 128.0, 77.0
directly_maximizing, bigrams, 4.877763331023743e-06, 3.0, 3.0
stylianou_cappe, bigrams, 6.503684289782541e-06, 4.0, 4.0
performance_system, bigrams, 6.503684289782541e-06, 4.0, 4.0
perceptron, text, 2.1129038941580802e-05, 13.0, 11.0
illustrative, text, 4.875932063441724e-06, 3.0, 3.0
tighter, text, 1.1377174814697355e-05, 7.0, 3.0
nash_equilibrium, bigrams, 6.503684289782541e-06, 4.0, 4.0
over_baselines, bigrams, 4.877763331023743e-06, 3.0, 3.0
tian_yamagishi, bigrams, 8.12960570328869e-06, 5.0, 5.0
step_sample, bigrams, 8.12960570328869e-06, 5.0, 5.0
afne, text, 0.00010727050539571792, 66.0, 29.0
achieved_signicant, bigrams, 6.503684289782541e-06, 4.0, 4.0
signicantly_less, bigrams, 8.12960570328869e-06, 5.0, 4.0
transfer_control, bigrams, 4.877763331023743e-06, 3.0, 3.0
same_standard, bigrams, 4.877763331023743e-06, 3.0, 3.0
yazhe, text, 2.1129038941580802e-05, 13.0, 12.0
engineered, text, 3.250621375627816e-05, 20.0, 14.0
transform_simple, bigrams, 4.877763331023743e-06, 3.0, 3.0
original, text, 0.0007622707053087652, 469.0, 149.0
complete, text, 0.00013165015843696892, 81.0, 45.0
zen_yonghui, bigrams, 4.877763331023743e-06, 3.0, 3.0
sennrich_haddow, bigrams, 4.877763331023743e-06, 3.0, 3.0
posterior_prior, bigrams, 1.1381447620806284e-05, 7.0, 5.0
corpus_demonstrate, bigrams, 4.877763331023743e-06, 3.0, 3.0
mic, text, 4.875932063441724e-06, 3.0, 3.0
burden, text, 4.2258077883161604e-05, 26.0, 17.0
argument, text, 9.751864126883447e-06, 6.0, 6.0
output_vocabulary, bigrams, 6.503684289782541e-06, 4.0, 4.0
vision, text, 0.0002925559238065034, 180.0, 80.0
representations_raw, bigrams, 4.877763331023743e-06, 3.0, 3.0
comparable_mos, bigrams, 6.503684289782541e-06, 4.0, 4.0
resp, text, 5.363525269785896e-05, 33.0, 3.0
comp, text, 7.313898095162585e-05, 45.0, 3.0
ect, text, 3.738214581971988e-05, 23.0, 3.0
een, text, 0.00020316382870078087, 125.0, 3.0
best_publicly, bigrams, 2.113697337335907e-05, 13.0, 5.0
closed-form, text, 2.925559238065034e-05, 18.0, 9.0
montral, text, 4.875932063441724e-06, 3.0, 3.0
