"title","abstract","authors","year","venue","article_url","pdf_url","source_used","platform","url","doi","openalex_id","arxiv_id","dblp_key","decision","reason","LLM_term","CQ_term","title_norm","key"
"Zero-Shot Large Language Model Agents for Fully Automated Radiotherapy Treatment Planning","Radiation therapy treatment planning is an iterative, expertise-dependent process, and the growing burden of cancer cases has made reliance on manual planning increasingly unsustainable, underscoring the need for automation. In this study, we propose a workflow that leverages a large language model (LLM)-based agent to navigate inverse treatment planning for intensity-modulated radiation therapy (IMRT). The LLM agent was implemented to directly interact with a clinical treatment planning system (TPS) to iteratively extract intermediate plan states and propose new constraint values to guide inverse optimization. The agent's decision-making process is informed by current observations and previous optimization attempts and evaluations, allowing for dynamic strategy refinement. The planning process was performed in a zero-shot inference setting, where the LLM operated without prior exposure to manually generated treatment plans and was utilized without any fine-tuning or task-specific training. The LLM-generated plans were evaluated on twenty head-and-neck cancer cases against clinical manual plans, with key dosimetric endpoints analyzed and reported. The LLM-generated plans achieved comparable organ-at-risk (OAR) sparing relative to clinical plans while demonstrating improved hot spot control (Dmax: 106.5% vs. 108.8%) and superior conformity (conformity index: 1.18 vs. 1.39 for boost PTV; 1.82 vs. 1.88 for primary PTV). This study demonstrates the feasibility of a zero-shot, LLM-driven workflow for automated IMRT treatment planning in a commercial TPS. The proposed approach provides a generalizable and clinically applicable solution that could reduce planning variability and support broader adoption of AI-based planning strategies.","Dongrong Yang; Xin Wu; Yibo Xie; Xinyi Li; Qiuwen Wu; Jackie Wu; Yang Sheng","2025","arXiv","https://arxiv.org/abs/2510.11754","http://arxiv.org/pdf/2510.11754v1","arxiv:title","acl","https://aclanthology.org/2025.ldk-1.15/","","","","","include","LLM∧CQ match in title/abstract","True","True","on the feasibility of llmbased automated generation and filtering of competency questions for ontologies","title::on the feasibility of llmbased automated generation and filtering of competency questions for ontologies::2025"
"Investigating Large Language Models for Text-to-SPARQL Generation","","Jacopo D’Abramo; Andrea Zugarini; Paolo Torroni","2025","Proceedings of the 4th International Workshop on Knowledge-Augmented Methods for Natural Language Processing","https://aclanthology.org/2025.knowledgenlp-1.5.pdf","https://aclanthology.org/2025.knowledgenlp-1.5.pdf","openalex:doi|crossref:doi|unpaywall","acl","https://aclanthology.org/2025.knowledgenlp-1.5/","10.18653/v1/2025.knowledgenlp-1.5","","","","include","LLM∧CQ match in title/abstract","True","True","investigating large language models for texttosparql generation","doi::10.18653/v1/2025.knowledgenlp-1.5"
"Performance and Limitations of Fine-Tuned {LLM}s in {SPARQL} Query Generation","","","2025","Proceedings of the Workshop on Generative AI and Knowledge Graphs (GenAIK)","https://aclanthology.org/2025.genaik-1.8/","","none","acl","https://aclanthology.org/2025.genaik-1.8/","","","","","include","LLM∧CQ match in title/abstract","True","True","performance and limitations of finetuned llms in sparql query generation","title::performance and limitations of finetuned llms in sparql query generation::2025"
"Ontolearn-A Framework for Large-scale OWL Class Expression Learning in Python","In this paper, we present Ontolearn-a framework for learning OWL class expressions over large knowledge graphs. Ontolearn contains efficient implementations of recent stateof-the-art symbolic and neuro-symbolic class expression learners including EvoLearner and DRILL. A learned OWL class expression can be used to classify instances in the knowledge graph. Furthermore, Ontolearn integrates a verbalization module based on an LLM to translate complex OWL class expressions into natural language sentences. By mapping OWL class expressions into respective SPARQL queries, Ontolearn can be easily used to operate over a remote triplestore. The source code of Ontolearn is available at https://github.com/dice-group/Ontolearn.","Caglar Demir; Alkid Baci; N'Dah Jean Kouagou; Leonie Nora Sieger; Stefan Heindorf; Simon Bin; Lukas Blübaum; Alexander Bigerl; Axel-Cyrille Ngonga Ngomo","2025","arXiv","https://arxiv.org/abs/2510.11561","http://arxiv.org/pdf/2510.11561v1","arxiv:id","arxiv","http://arxiv.org/abs/2510.11561v1","","","http://arxiv.org/abs/2510.11561v1","","include","LLM∧CQ match in title/abstract","True","True","ontolearna framework for largescale owl class expression learning in python","arxiv::http://arxiv.org/abs/2510.11561v1"
"Search-on-Graph: Iterative Informed Navigation for Large Language Model Reasoning on Knowledge Graphs","Large language models (LLMs) have demonstrated impressive reasoning abilities yet remain unreliable on knowledge-intensive, multi-hop questions -- they miss long-tail facts, hallucinate when uncertain, and their internal knowledge lags behind real-world change. Knowledge graphs (KGs) offer a structured source of relational evidence, but existing KGQA methods face fundamental trade-offs: compiling complete SPARQL queries without knowing available relations proves brittle, retrieving large subgraphs introduces noise, and complex agent frameworks with parallel exploration exponentially expand search spaces. To address these limitations, we propose Search-on-Graph (SoG), a simple yet effective framework that enables LLMs to perform iterative informed graph navigation using a single, carefully designed \\textsc{Search} function. Rather than pre-planning paths or retrieving large subgraphs, SoG follows an ``observe-then-navigate'' principle: at each step, the LLM examines actual available relations from the current entity before deciding on the next hop. This approach further adapts seamlessly to different KG schemas and handles high-degree nodes through adaptive filtering. Across six KGQA benchmarks spanning Freebase and Wikidata, SoG achieves state-of-the-art performance without fine-tuning. We demonstrate particularly strong gains on Wikidata benchmarks (+16\\% improvement over previous best methods) alongside consistent improvements on Freebase benchmarks.","Jia Ao Sun; Hao Yu; Fabrizio Gotti; Fengran Mo; Yihong Wu; Yuchen Hui; Jian-Yun Nie","2025","arXiv","https://arxiv.org/abs/2510.08825","http://arxiv.org/pdf/2510.08825v1","arxiv:id","arxiv","http://arxiv.org/abs/2510.08825v1","","","http://arxiv.org/abs/2510.08825v1","","include","LLM∧CQ match in title/abstract","True","True","searchongraph iterative informed navigation for large language model reasoning on knowledge graphs","arxiv::http://arxiv.org/abs/2510.08825v1"
"LLM-Assisted Modeling of Semantic Web-Enabled Multi-Agents Systems with AJAN","There are many established semantic Web standards for implementing multi-agent driven applications. The AJAN framework allows to engineer multi-agent systems based on these standards. In particular, agent knowledge is represented in RDF/RDFS and OWL, while agent behavior models are defined with Behavior Trees and SPARQL to access and manipulate this knowledge. However, the appropriate definition of RDF/RDFS and SPARQL-based agent behaviors still remains a major hurdle not only for agent modelers in practice. For example, dealing with URIs is very error-prone regarding typos and dealing with complex SPARQL queries in large-scale environments requires a high learning curve. In this paper, we present an integrated development environment to overcome such hurdles of modeling AJAN agents and at the same time to extend the user community for AJAN by the possibility to leverage Large Language Models for agent engineering.","Hacane Hechehouche; Andre Antakli; Matthias Klusch","2025","arXiv","https://arxiv.org/abs/2510.06911","http://arxiv.org/pdf/2510.06911v1","arxiv:id","arxiv","http://arxiv.org/abs/2510.06911v1","","","http://arxiv.org/abs/2510.06911v1","","include","LLM∧CQ match in title/abstract","True","True","llmassisted modeling of semantic webenabled multiagents systems with ajan","arxiv::http://arxiv.org/abs/2510.06911v1"
"Real-Time Health Analytics Using Ontology-Driven Complex Event Processing and LLM Reasoning: A Tuberculosis Case Study","Timely detection of critical health conditions remains a major challenge in public health analytics, especially in Big Data environments characterized by high volume, rapid velocity, and diverse variety of clinical data. This study presents an ontology-enabled real-time analytics framework that integrates Complex Event Processing (CEP) and Large Language Models (LLMs) to enable intelligent health event detection and semantic reasoning over heterogeneous, high-velocity health data streams. The architecture leverages the Basic Formal Ontology (BFO) and Semantic Web Rule Language (SWRL) to model diagnostic rules and domain knowledge. Patient data is ingested and processed using Apache Kafka and Spark Streaming, where CEP engines detect clinically significant event patterns. LLMs support adaptive reasoning, event interpretation, and ontology refinement. Clinical information is semantically structured as Resource Description Framework (RDF) triples in Graph DB, enabling SPARQL-based querying and knowledge-driven decision support. The framework is evaluated using a dataset of 1,000 Tuberculosis (TB) patients as a use case, demonstrating low-latency event detection, scalable reasoning, and high model performance (in terms of precision, recall, and F1-score). These results validate the system's potential for generalizable, real-time health analytics in complex Big Data scenarios.","Ritesh Chandra; Sonali Agarwal; Navjot Singh","2025","arXiv","https://arxiv.org/abs/2510.09646","http://arxiv.org/pdf/2510.09646v1","arxiv:id","arxiv","http://arxiv.org/abs/2510.09646v1","","","http://arxiv.org/abs/2510.09646v1","","include","LLM∧CQ match in title/abstract","True","True","realtime health analytics using ontologydriven complex event processing and llm reasoning a tuberculosis case study","arxiv::http://arxiv.org/abs/2510.09646v1"
"ARUQULA -- An LLM based Text2SPARQL Approach using ReAct and Knowledge Graph Exploration Utilities","Interacting with knowledge graphs can be a daunting task for people without a background in computer science since the query language that is used (SPARQL) has a high barrier of entry. Large language models (LLMs) can lower that barrier by providing support in the form of Text2SPARQL translation. In this paper we introduce a generalized method based on SPINACH, an LLM backed agent that translates natural language questions to SPARQL queries not in a single shot, but as an iterative process of exploration and execution. We describe the overall architecture and reasoning behind our design decisions, and also conduct a thorough analysis of the agent behavior to gain insights into future areas for targeted improvements. This work was motivated by the Text2SPARQL challenge, a challenge that was held to facilitate improvements in the Text2SPARQL domain.","Felix Brei; Lorenz Bühmann; Johannes Frey; Daniel Gerber; Lars-Peter Meyer; Claus Stadler; Kirill Bulert","2025","arXiv","https://arxiv.org/abs/2510.02200","http://arxiv.org/pdf/2510.02200v1","arxiv:id","arxiv","http://arxiv.org/abs/2510.02200v1","","","http://arxiv.org/abs/2510.02200v1","","include","LLM∧CQ match in title/abstract","True","True","aruqula an llm based text2sparql approach using react and knowledge graph exploration utilities","arxiv::http://arxiv.org/abs/2510.02200v1"
"MetaboT: AI-based agent for natural language-based interaction with metabolomics knowledge graphs","Mass spectrometry metabolomics generates vast amounts of data requiring advanced methods for interpretation. Knowledge graphs address these challenges by structuring mass spectrometry data, metabolite information, and their relationships into a connected network (Gaudry et al. 2024). However, effective use of a knowledge graph demands an in-depth understanding of its ontology and its query language syntax. To overcome this, we designed MetaboT, an AI system utilizing large language models (LLMs) to translate user questions into SPARQL semantic query language for operating on knowledge graphs (Steve Harris 2013). We demonstrate its effectiveness using the Experimental Natural Products Knowledge Graph (ENPKG), a large-scale public knowledge graph for plant natural products (Gaudry et al. 2024).MetaboT employs specialized AI agents for handling user queries and interacting with the knowledge graph by breaking down complex tasks into discrete components, each managed by a specialised agent (Fig. 1a). The multi-agent system is constructed using the LangChain and LangGraph libraries, which facilitate the integration of LLMs with external tools and information sources (LangChain, n.d.). The query generation process follows a structured workflow. First, the Entry Agent determines if the question is new or a follow-up to previous interactions. New questions are forwarded to the Validator Agent, which verifies if the question is related to the knowledge graph. Then, the valid question is sent to the Supervisor Agent, which identifies if the question requires chemical conversions or standardized identifiers. In this case it delegates the question to the Knowledge Graph Agent, which can use tools to extract necessary details, such as URIs or taxonomies of chemical names, from the user query. Finally, an agent responsible for crafting the SPARQL queries equipped with the ontology of the knowledge graph uses the provided identifiers to generate the query. Then, the system executes the generated query against the metabolomics knowledge graph and returns structured results to the user (Fig. 1b). To assess the performance of MetaboT we have curated 50 metabolomics-related questions and their expected answers. In addition to submitting these questions to MetaboT, we evaluated a baseline by submitting them to a standard LLM (GPT-4o) with a prompt that incorporated the knowledge graph ontology but did not provide specific entity IDs. This baseline achieved only 8.16% accuracy, compared to MetaboT's 83.67%, underscoring the necessity of our multi-agent system for accurately retrieving entities and generating correct SPARQL queries. MetaboT demonstrates promising performance as a conversational question-answering assistant, enabling researchers to retrieve structured metabolomics data through natural language queries. By automating the generation and execution of SPARQL queries, it removes technical barriers that have traditionally hindered access to knowledge graphs. Importantly, MetaboT leverages the capabilities of LLMs while maintaining experimentally grounded query generation, ensuring that outputs remain aligned with domain-specific standards and data structures. This approach facilitates data-driven discoveries by bridging the gap between complex semantic technologies and user-friendly interaction. MetaboT is accessible at [https://metabot.holobiomicslab.eu/], and its source code is available at [https://github.com/HolobiomicsLab/MetaboT].","Madina Bekbergenova; Lucas Pradi; Benjamin Navet; Emma Tysinger; Franck Michel; Matthieu Feraud; Yousouf Taghzouti; Yan Zhou Chen; Olivier Kirchhoffer; Florence Mehl; Martin Legrand; Tao Jiang; Marco Pagni; Soha Hassoun; Jean-Luc Wolfender; Wout Bittremieux; Fabien Gandon; Louis-Félix Nothias","2025","arXiv","https://arxiv.org/abs/2510.01724","http://arxiv.org/pdf/2510.01724v1","arxiv:id","arxiv","http://arxiv.org/abs/2510.01724v1","","","http://arxiv.org/abs/2510.01724v1","","include","LLM∧CQ match in title/abstract","True","True","metabot aibased agent for natural languagebased interaction with metabolomics knowledge graphs","arxiv::http://arxiv.org/abs/2510.01724v1"
"Towards LLM-generated explanations for Component-based Knowledge Graph Question Answering Systems","Over time, software systems have reached a level of complexity that makes it difficult for their developers and users to explain particular decisions made by them. In this paper, we focus on the explainability of component-based systems for Question Answering (QA). These components often conduct processes driven by AI methods, in which behavior and decisions cannot be clearly explained or justified, s.t., even for QA experts interpreting the executed process and its results is hard. To address this challenge, we present an approach that considers the components' input and output data flows as a source for representing the behavior and provide explanations for the components, enabling users to comprehend what happened. In the QA framework used here, the data flows of the components are represented as SPARQL queries (inputs) and RDF triples (outputs). Hence, we are also providing valuable insights on verbalization regarding these data types. In our experiments, the approach generates explanations while following template-based settings (baseline) or via the use of Large Language Models (LLMs) with different configurations (automatic generation). Our evaluation shows that the explanations generated via LLMs achieve high quality and mostly outperform template-based approaches according to the users' ratings. Therefore, it enables us to automatically explain the behavior and decisions of QA components to humans while using RDF and SPARQL as a context for explanations.","Dennis Schiese; Aleksandr Perevalov; Andreas Both","2025","arXiv","https://arxiv.org/abs/2508.14553","http://arxiv.org/pdf/2508.14553v1","arxiv:id","arxiv","http://arxiv.org/abs/2508.14553v1","","","http://arxiv.org/abs/2508.14553v1","","include","LLM∧CQ match in title/abstract","True","True","towards llmgenerated explanations for componentbased knowledge graph question answering systems","arxiv::http://arxiv.org/abs/2508.14553v1"
