ref_id,ref_number,title,year,doi,arxiv_id,venue,first_author,authors,article_url,pdf_url,additional_urls
,1,A comprehensive survey on graph neural networks,2021,,,IEEE Trans. Neural Networks Learn. Syst,"['Z Wu', 'S Pan', 'F Chen', 'G Long', 'C Zhang', 'P S Yu']","['Z Wu', 'S Pan', 'F Chen', 'G Long', 'C Zhang', 'P S Yu']",https://arxiv.org/abs/1901.00596,http://arxiv.org/pdf/1901.00596v4,"[""http://arxiv.org/abs/1901.00596v4"", ""http://arxiv.org/pdf/1901.00596v4""]"
,2,Efficient active learning by querying discriminative and representative samples and fully exploiting unlabeled data,2021,,,IEEE Trans. Neural Networks Learn. Syst,"['B Gu', 'Z Zhai', 'C Deng', 'H Huang']","['B Gu', 'Z Zhai', 'C Deng', 'H Huang']",,,"[""https://www.semanticscholar.org/paper/a4384a2db6b8ebcab30e0a495ff5789e4b3ad142"", ""https://see.xidian.edu.cn/faculty/chdeng/Welcome%20to%20Cheng%20Deng's%20Homepage_files/Papers/Journal/TNNLS2020_Bin.pdf""]"
,3,Shattering distribution for active learning,2022,,,IEEE Trans. Neural Networks Learn. Syst,"['X Cao', 'I Tsang']","['X Cao', 'I Tsang']",https://opus.lib.uts.edu.au/bitstream/10453/148262/4/9B18871D-F72F-4437-891F-7FAA000D7A47%20am1,https://opus.lib.uts.edu.au/bitstream/10453/148262/4/9B18871D-F72F-4437-891F-7FAA000D7A47%20am1.pdf,"[""https://www.semanticscholar.org/paper/e6226380af685de1a4f8793bc3b08065825291ea"", ""https://opus.lib.uts.edu.au/bitstream/10453/148262/4/9B18871D-F72F-4437-891F-7FAA000D7A47%20am1.pdf""]"
,4,Online active learning for drifting data streams,2023,,,IEEE Trans. Neural Networks Learn. Syst,"['S Liu', 'S Xue', 'J Wu', 'C Zhou', 'J Yang', 'Z Li', 'J Cao']","['S Liu', 'S Xue', 'J Wu', 'C Zhou', 'J Yang', 'Z Li', 'J Cao']",,,"[""https://www.semanticscholar.org/paper/cae890cfce1fa6fa66fa910f9fb55214fef8294d""]"
,5,Semi-supervised classification with graph convolutional networks,2017,,,Proc. of of ICLR,"['T N Kipf', 'M Welling']","['T N Kipf', 'M Welling']",https://openreview.net/forum?id=SJU4ayYgl,http://arxiv.org/pdf/1609.02907v4,"[""http://arxiv.org/abs/1609.02907v4"", ""http://arxiv.org/pdf/1609.02907v4""]"
,6,Gradient-based learning applied to document recognition,1998,,,Proceedings of the IEEE,"['Y Lecun', 'L Bottou', 'Y Bengio', 'P Haffner']","['Y Lecun', 'L Bottou', 'Y Bengio', 'P Haffner']",,https://hal.science/hal-03926082/document,"[""https://doi.org/10.1109/5.726791"", ""https://hal.science/hal-03926082/document""]"
,7,Attention is all you need,2017,,,Proc. of NeurIPS,"['A Vaswani', 'N Shazeer']","['A Vaswani', 'N Shazeer']",https://arxiv.org/abs/1706.03762,http://arxiv.org/pdf/1706.03762v7,"[""http://arxiv.org/abs/1706.03762v7"", ""http://arxiv.org/pdf/1706.03762v7""]"
,8,Learning transferable visual models from natural language supervision,2021,,,Proc. of ICML,"['A Radford', 'J W Kim']","['A Radford', 'J W Kim']",https://arxiv.org/abs/2103.00020,http://arxiv.org/pdf/2103.00020v1,"[""http://arxiv.org/abs/2103.00020v1"", ""http://arxiv.org/pdf/2103.00020v1""]"
,9,GPT-4 technical report,2023,,,CoRR,['Openai'],['Openai'],https://openai.com/research/gpt-4,http://arxiv.org/pdf/2303.08774v6,"[""http://arxiv.org/abs/2303.08774v6"", ""http://arxiv.org/pdf/2303.08774v6""]"
,10,Curriculum learning,2009,,,Proc. of ICML,"['Y Bengio', 'J Louradour', 'R Collobert', 'J Weston']","['Y Bengio', 'J Louradour', 'R Collobert', 'J Weston']",https://cognitivemedium.com/assets/rmnist/Bengio2009,https://cognitivemedium.com/assets/rmnist/Bengio2009.pdf,"[""https://www.semanticscholar.org/paper/8de174ab5419b9d3127695405efd079808e956e8""]"
