"ref_number","title","raw_text","doi","arxiv_id","year","authors","venue","article_url","has_article_url"
"1","A comprehensive survey on graph neural networks","A comprehensive survey on graph neural networks Z Wu S Pan F Chen G Long C Zhang P S Yu IEEE Trans. Neural Networks Learn. Syst 32 1 2021","","","2021","['Z Wu', 'S Pan', 'F Chen', 'G Long', 'C Zhang', 'P S Yu']","IEEE Trans. Neural Networks Learn. Syst","",""
"2","Efficient active learning by querying discriminative and representative samples and fully exploiting unlabeled data","Efficient active learning by querying discriminative and representative samples and fully exploiting unlabeled data B Gu Z Zhai C Deng H Huang IEEE Trans. Neural Networks Learn. Syst 32 9 2021","","","2021","['B Gu', 'Z Zhai', 'C Deng', 'H Huang']","IEEE Trans. Neural Networks Learn. Syst","",""
"3","Shattering distribution for active learning","Shattering distribution for active learning X Cao I Tsang IEEE Trans. Neural Networks Learn. Syst 33 1 2022","","","2022","['X Cao', 'I Tsang']","IEEE Trans. Neural Networks Learn. Syst","",""
"4","Online active learning for drifting data streams","Online active learning for drifting data streams S Liu S Xue J Wu C Zhou J Yang Z Li J Cao IEEE Trans. Neural Networks Learn. Syst 34 1 2023","","","2023","['S Liu', 'S Xue', 'J Wu', 'C Zhou', 'J Yang', 'Z Li', 'J Cao']","IEEE Trans. Neural Networks Learn. Syst","",""
"5","Semi-supervised classification with graph convolutional networks","Semi-supervised classification with graph convolutional networks T N Kipf M Welling Proc. of of ICLR of of ICLR 2017","","","2017","['T N Kipf', 'M Welling']","Proc. of of ICLR","https://openreview.net/forum?id=SJU4ayYgl","✓"
"6","Gradient-based learning applied to document recognition","Gradient-based learning applied to document recognition Y Lecun L Bottou Y Bengio P Haffner Proceedings of the IEEE the IEEE 1998 86","","","1998","['Y Lecun', 'L Bottou', 'Y Bengio', 'P Haffner']","Proceedings of the IEEE","",""
"7","Attention is all you need","Attention is all you need A Vaswani N Shazeer Proc. of NeurIPS of NeurIPS 2017","","","2017","['A Vaswani', 'N Shazeer']","Proc. of NeurIPS","",""
"8","Learning transferable visual models from natural language supervision","Learning transferable visual models from natural language supervision A Radford J W Kim Proc. of ICML of ICML 2021","","","2021","['A Radford', 'J W Kim']","Proc. of ICML","",""
"9","GPT-4 technical report","GPT-4 technical report Openai abs/2303.08774 CoRR 2023","","","2023","['Openai']","CoRR","https://openai.com/research/gpt-4","✓"
"10","Curriculum learning","Curriculum learning Y Bengio J Louradour R Collobert J Weston Proc. of ICML of ICML 2009","","","2009","['Y Bengio', 'J Louradour', 'R Collobert', 'J Weston']","Proc. of ICML","",""
"11","Transfer learning for visual categorization: A survey","Transfer learning for visual categorization: A survey L Shao F Zhu X Li IEEE Trans. Neural Networks Learn. Syst 26 5 2015","","","2015","['L Shao', 'F Zhu', 'X Li']","IEEE Trans. Neural Networks Learn. Syst","",""
"12","When active learning meets implicit semantic data augmentation","When active learning meets implicit semantic data augmentation Z Chen J Zhang Proc. of ECCV of ECCV 2022","","","2022","['Z Chen', 'J Zhang']","Proc. of ECCV","",""
"13","Dataset pruning: Reducing training data by examining generalization influence","Dataset pruning: Reducing training data by examining generalization influence S Yang Z Xie Proc. of ICLR of ICLR 2023","","","2023","['S Yang', 'Z Xie']","Proc. of ICLR","https://openreview.net/forum?id=4wZiAXD29TQ","✓"
"14","Active learning for lane detection: A knowledge distillation approach","Active learning for lane detection: A knowledge distillation approach F Peng C Wang Proc. of ICCV of ICCV 2021","","","2021","['F Peng', 'C Wang']","Proc. of ICCV","",""
"15","A survey of active learning for natural language processing","A survey of active learning for natural language processing Z Zhang E Strubell E H Hovy Proc. of EMNLP of EMNLP 2022","","","2022","['Z Zhang', 'E Strubell', 'E H Hovy']","Proc. of EMNLP","",""
"16","A survey of active learning algorithms for supervised remote sensing image classification","A survey of active learning algorithms for supervised remote sensing image classification D Tuia M Volpi L Copa M F Kanevski J Muñoz-Marí 2021 CoRR","","2104.07784","2021","['D Tuia', 'M Volpi', 'L Copa', 'M F Kanevski', 'J Muñoz-Marí']","A survey of active learning algorithms for supervised remote sensing image classification","https://arxiv.org/abs/2104.07784","✓"
"17","A comprehensive survey on deep active learning and its applications in medical image analysis","A comprehensive survey on deep active learning and its applications in medical image analysis H Wang Q Jin 10.48550/arXiv.2310.14230 CoRR 2023","10.48550/arXiv.2310.14230","2310.14230","2023","['H Wang', 'Q Jin']","CoRR","https://doi.org/10.48550/arXiv.2310.14230","✓"
"18","Active learning in noisy conditions for spoken language understanding","Active learning in noisy conditions for spoken language understanding H Hadian H Sameti Proc. of ACL of ACL 2014","","","2014","['H Hadian', 'H Sameti']","Proc. of ACL","",""
"19","A survey on active learning and humanin-the-loop deep learning for medical image analysis","A survey on active learning and humanin-the-loop deep learning for medical image analysis S Budd E Robinson Medical Image Anal 71 2021","","","2021","['S Budd', 'E Robinson']","Medical Image Anal","",""
"20","Deep active learning for computer vision past and future","Deep active learning for computer vision past and future R Takezoe X Liu CoRR 2022","","","2022","['R Takezoe', 'X Liu']","CoRR","",""
"21","A comparative survey: Benchmarking for pool-based active learning","A comparative survey: Benchmarking for pool-based active learning X Zhan H Liu Proc. of IJCAI of IJCAI 2021","","","2021","['X Zhan', 'H Liu']","Proc. of IJCAI","",""
"22","A comparative survey of deep active learning","A comparative survey of deep active learning X Zhan Q Wang CoRR 2022","","2203.13450","2022","['X Zhan', 'Q Wang']","CoRR","https://arxiv.org/abs/2203.13450","✓"
"23","A survey on instance selection for active learning","A survey on instance selection for active learning Y Fu X Zhu B Li Knowl. Inf. Syst 35 2 2013","","","2013","['Y Fu', 'X Zhu', 'B Li']","Knowl. Inf. Syst","",""
"24","Active learning: A survey","Active learning: A survey C Aggarwal X Kong Data Classification 2014","","","2014","['C Aggarwal', 'X Kong']","Data Classification","https://charuaggarwal.net/","✓"
